URL,title,snippet
https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRICF10,,<span>JavaScript is required</span>
https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFM1,,<span>JavaScript is required</span>
https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g0K000004pcMbQAI&_ga=2.159155002.1626425500.1670914557-1149870743.1670913560,Error,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g0K000004pcMbQAI&_ga=2.159155002.1626425500.1670914557-1149870743.1670913560"", waiting until ""load""
"
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x0000000000254c8b&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x0000000000254d80&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a486&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRIIT13,,<span>JavaScript is required</span>
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x000000000025a310&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a312&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a30d&DISPMODE=Calendar,Training and Events Calendar,Skip to main content             	     		             			         			           				                         	         						             						Top Navigation       								  	Create Guest Account   	Join Us       Contact Us   	  Member Portal     	     								                                      
